Number of Persons in Household:,,1,2,3,4,5,6,7,8
,Extremely Low,16950,19350,21750,26200,30680,35160,39640,44120
Sierra County,Very Low Income,28200,32200,36250,40250,43500,46700,49950,53150
Area Median Income:,Low Income,45100,51550,58000,64400,69600,74750,79900,85050
"$80,500",Median Income,56350,64400,72450,80500,86950,93400,99800,106250
,Moderate Income,67600,77300,86950,96600,104350,112050,119800,127500
,Extremely Low,14700,17240,21720,26200,30680,35160,39640,44120
Siskiyou County,Very Low Income,24500,28000,31500,34950,37750,40550,43350,46150
Area Median Income:,Low Income,39150,44750,50350,55900,60400,64850,69350,73800
"$70,700",Median Income,49500,56550,63650,70700,76350,82000,87650,93300
,Moderate Income,59400,67900,76350,84850,91650,98450,105200,112000
,Extremely Low,19450,22200,25000,27750,30680,35160,39640,44120
Solano County,Very Low Income,32400,37000,41650,46250,49950,53650,57350,61050
Area Median Income:,Low Income,51800,59200,66600,73950,79900,85800,91700,97650
"$95,400",Median Income,66800,76300,85850,95400,103050,110650,118300,125950
,Moderate Income,80150,91600,103050,114500,123650,132800,142000,151150
,Extremely Low,23900,27300,30700,34100,36850,39600,42300,45050
Sonoma County,Very Low Income,39800,45450,51150,56800,61350,65900,70450,75000
Area Median Income:,Low Income,63650,72750,81850,90900,98200,105450,112750,120000
"$102,700",Median Income,71900,82150,92450,102700,110900,119150,127350,135550
,Moderate Income,86300,98600,110950,123250,133100,142950,152850,162700
,Extremely Low,14700,17240,21720,26200,30680,35160,39640,44120
Stanislaus County,Very Low Income,24500,28000,31500,34950,37750,40550,43350,46150
Area Median Income:,Low Income,39150,44750,50350,55900,60400,64850,69350,73800
"$70,700",Median Income,49500,56550,63650,70700,76350,82000,87650,93300
,Moderate Income,59400,67900,76350,84850,91650,98450,105200,112000
,Extremely Low,14700,17240,21720,26200,30680,35160,39640,44120
Sutter County,Very Low Income,24500,28000,31500,34950,37750,40550,43350,46150
Area Median Income:,Low Income,39150,44750,50350,55900,60400,64850,69350,73800
"$75,000",Median Income,52500,60000,67500,75000,81000,87000,93000,99000
,Moderate Income,63000,72000,81000,90000,97200,104400,111600,118800
,Extremely Low,14700,17240,21720,26200,30680,35160,39640,44120
